source_player_id,name_ja,name_en,tier,wikipedia_title,pathway_category,pathway_matched_categories,pathway_reason,wikipedia_pathway_context,reviewed_pathway_category,reviewer_note
4312,小野 智吉,Tomoyoshi ONO,pre2014_p2,小野智吉,unknown,,no_institution_keyword_found,1998年にベルマーレ平塚に入団、2000年まで3年間在籍。2002年に横浜FCに入団。横浜FCには9年間在籍し、クラブ内で最古参であった。2010年12月11日、現役引退を発表。,,
381,上村 健一,Kenichi UEMURA,pre2014_p2,上村健一,unknown,,no_institution_keyword_found,"

初出場　1993年7月14日 対ヴェルディ川崎戦（等々力陸上競技場）
初得点　1993年7月24日 対浦和レッドダイヤモンズ戦（広島スタジアム）

初出場　2001年4月25日  スペイン代表戦（コルドバ）",,
1872,菅原 智,Tomo SUGAWARA,pre2014_p2,菅原智,unknown,,no_institution_keyword_found,"小学時代に所属していた「川崎YMCA」は地元の強豪チームで、同期には薮田光教、高田保則の兄、歌手の森山直太朗らがいた。生前の松田直樹とは同年代の仲良しで、自身のブログに度々登場していた。
2011年限りで現役を引退し、育成部門のコーチに就任。2012年4月30日の山形戦の試合終了後に引退セレモニーを行った。
2021年、ヴィッセル神戸のアシスタントコーチに就任した。
2026年、監督に就任する吉田孝行と共に清水エスパルスのコーチに就任。",,
144,西澤 淳二,Junji NISHIZAWA,pre2014_p2,西澤淳二,unknown,,no_institution_keyword_found,"川崎フロンターレ在籍時の2000年、Jリーグオールスターサッカーにチームから唯一出場し、前半5分にJ-EASTの先制ゴールを決める活躍を見せた。
コンサドーレ札幌在籍中の2005年9月、モンテディオ山形戦で左膝前十字靭帯損傷の重傷を負うも、翌年怪我から復帰。元々はセンターバックだが、2007年は主に右サイドバックとして起用され、38試合に出場。クラブのJ1昇格へ大きく貢献した。
2008年は右足の手術を受け、シーズン途中よりセンターバックとして出場したが、シーズン終了後に戦力外通告を受ける。日本フットボールリーグのクラブからオファーが来たが、契約には至らず現役を引退。2009年に古巣である東京ヴェルディのスカウトに就任。2010年には川崎フロンターレスカウトに就任した。
2022年、横浜F・マリノスのトップチームダイレクターに就任。
2025年1月現在、公式に発表されていないが、横浜F・マリノスのトップチームダイレクターから名前を消した。",,
2330,平山 智規,Tomonori HIRAYAMA,pre2014_p2,平山智規,j_club_academy,j_club_academy,overseas_relocation_language_no_domestic_institution,"東海大一中から静岡北高を経て、1996年に柏レイソルへ練習生として入団。ブラジルのジュベントスへ留学を経験した後、3年目の1999年途中からチームでポジションを掴み始め、同時にシドニー五輪予選を戦うU-22代表にも招集された。2000年末には、トルシエ監督の日本代表合宿にも招集された。2003年8月のナイジェリア戦を前に、負傷により辞退した奥大介（横浜F・マリノス）に代わって代表に招集されたが、試合出場の機会はなかった。
2007年シーズンをもって契約満了となり退団となり、そのまま引退を発表。
2008年より柏レイソルで育成・普及部の普及コーチに就任すると発表したが、2008年6月30日付での退社が発表された。
2009年6月に柏レイソルアカデミー スクールコーチとして復帰。
柏レイソル復帰直後の2009年6月29日、オフィシャルブログを開設した。
2012年にU-15コーチとなり、2014年5月現在は柏レイソルU-12 コーチを務めている。
シューシャという愛称の名付け親はカレカ。",,
93,高橋 範夫,Norio TAKAHASHI,pre2014_p2,高橋範夫,unknown,,no_institution_keyword_found,"1992年に浦和レッズに加入するも、1995年まで出場機会はなく、1996年にブランメル仙台に移籍。激しい正ゴールキーパー争いの中、手足が長く、守備範囲が広い高橋が開幕スタメンを奪う。その後も主力として活躍、23試合に出場した。
しかし、1997年に松永成立、石川研らが移籍すると出番が激減。以降も出場機会に恵まれなかったが、チーム名がベガルタ仙台に変わって2年目の2000年途中から、再びレギュラーの座をつかむ。2001年にはキャリアハイの44試合に出場、J1昇格の立役者となった。
2004年にはチリのCDウニオン・サン・フェリペ に移籍。チリ初の日本人選手となったが、出場機会はなかった（日本人としての初出場は2013年の内田大貴）。
2007年からはアルビレックス新潟シンガポールにGKコーチ兼任でプレー。2008年限りで現役を引退した。
現役引退後は、指導者の道を歩んでいる。",,
55,木澤 正徳,Masanori KIZAWA,pre2014_p2,木澤正徳,unknown,,no_institution_keyword_found,スピードを武器とする右サイドバックで、古河や市原で活躍。セレッソではレギュラーだったが、クロスの精度が課題だった。,,
1332,岡本 隆吾,Ryugo OKAMOTO,pre2014_p2,岡本隆吾,unknown,,no_institution_keyword_found,1996年にジャパンフットボールリーグのNTT関東（後の大宮アルディージャ）に入団。1999年にJ2リーグに昇格。2003年に現役引退。現役時代はキャプテンを務め、ジャパンフットボールリーグ時代から不動の左サイドバックとして連続試合出場を続けていた。ファンからも「ミスター大宮」、「ミスターアルディージャ」、大宮の「鉄人」として愛される存在だった。,,
2915,滝澤 邦彦,Kunihiko TAKIZAWA,pre2014_p2,滝澤邦彦,unknown,,no_institution_keyword_found,"左サイドを得意とするMF。そのドリブルについて名古屋在籍時2003年のズデンコ・ベルデニック監督は「レアル・マドリードでも通用する」と評した。
2006年は所属クラブが決まらなかったが、シーズン途中の6月に横浜FCに加入が決まり、試合のリズムを変えるときなどにスーパーサブとして重用され、横浜のJ1昇格に大きく貢献し、2007年シーズンは初のJ1を戦うチームの中で左MFとしてプレーし、チームのアシスト王になっている。2008年シーズン終了後に、横浜FCより戦力外通告を受け、東京ヴェルディに完全移籍。序盤は主力として起用されたものの次第に出場機会は減り、再び戦力外通告を受けた。
タイに渡り、2010年から2011年までタイ・プレミアリーグのバンコク・グラスFC（現：BGパトゥム・ユナイテッドFC）でプレー。
2012年にリージョナルリーグ・ディヴィジョン2のランシットFCに期限付き移籍。
2013年、タイ・ディヴィジョン1リーグのアユタヤFCに移籍。
2014年、かつて在籍していたランシット・ユニバーシティFCと契約。
2016年、現役引退。引退後は古巣である名古屋グランパスエイトのスクールコーチに就任した。",,
1594,西山 哲平,Teppei NISHIYAMA,pre2014_p2,西山哲平,unknown,,no_institution_keyword_found,"1994年サントリーシリーズ最終戦（ヴェルディ川崎戦）にてデビュー。当時平塚の監督であった古前田充は、「2ndステージ（NICOSシリーズ）のために試しておきたかった」とコメントしている。当時絶対的存在であったFW野口幸司のサブとして考えていたようである。デビュー戦では19歳の若者らしい勢いのある突破を見せた。
2003年11月12日の練習中、右足脛腓骨骨折で全治6ヶ月の大怪我を負ったが、2004年9月18日東京ヴェルディ1969戦（味の素スタジアム）に後半29分から出場。
2007年9月15日の川崎フロンターレ戦にてJ通算300試合出場を達成。またその試合ではロスタイムに勝ち越しとなるゴールを決めるもその後川崎に追いつかれたため試合は引き分けに終わっている。
ブラジル留学の経験を持ち、ポルトガル語が堪能なことから、当時大分の監督であったペリクレス・シャムスカの指示を通訳なしで理解していた。シャムスカからは経験とユーティリティ性を買われスーパーサブとして主に起用された。
2009年12月4日、同シーズン限りでの契約満了が発表され、翌2010年1月18日に現役引退を発表した。その後2014年まで大分の強化部スカウト担当を務め、2015年に大分のトップチームのアシスタントコーチに就任。しかし、同年6月にチームの成績不振の影響を受ける形で再び強化担当に配置転換された。その後、当時の強化育成部長の柳田伸明が大分の監督に就任しそれに専念することとなったため、強化育成部長代理をシーズン終了まで務めた。2016年より正式に強化育成部長に就任。2020年からはゼネラルマネージャーとなり、2024年まで計5年間務めた。
2025年、AC長野パルセイロのスポーツダイレクター兼トップチーム強化部長に就任。",,
34,栗田 泰次郎,Taijiro KURITA,pre2014_p2,栗田泰次郎,unknown,,no_institution_keyword_found,"1993年に静岡学園高から鹿島アントラーズに入団。その後、京都パープルサンガ、コンサドーレ札幌、清水エスパルス、横浜FCを経て2002年に水戸ホーリーホックに加入。
水戸では主にボランチの選手として活躍したが、2005年に戦力外通告を受けた。一度は引退を表明するものの、現役続行を希望し、2006年からFC琉球でプレーすることとなった。3シーズンプレーしたの後、2008年をもって引退した。",,
1365,塩川 岳人,Taketo SHIOKAWA,pre2014_p2,塩川岳人,unknown,,no_institution_keyword_found,"両サイドのMFをこなす選手であるが、元々はFWの選手であり、大分トリニータ時代はFWとして出場していた。さらに、チームによってはDFとしての起用もあるが、スピードを生かしたサイド攻撃を期待されるプレースタイルは変わりがない。横浜では試合出場数は少なかったが、シーズン中の徳島移籍までの2シーズンで選手会長を務めた。
また、山形で初めてプロ選手として指導を受けた石崎信弘とは同時に大分に移籍した。その後、塩川は石崎を離れて川崎に移籍したが、2001年途中には石崎が川崎監督に就任し、合計で7シーズンにわたって石崎の下でプレーしている。",,
6464,森田 浩史,Hiroshi MORITA,pre2014_p2,森田浩史,unknown,,no_institution_keyword_found,"2001年当時J2サガン鳥栖に入団。2002年、14ゴールを挙げて2003年にアルビレックス新潟に移籍を果たす。2004年7月、期限付き移籍で大宮アルディージャに加わり、10ゴールを挙げてJ1昇格に貢献。翌年も期限付き移籍期間を延長して在籍し、2006年に完全移籍。得点数はあまり多くないが打点の高いヘディングによるポストプレーや献身的な守備でチームに貢献する。2009年はヴァンフォーレ甲府への移籍しセカンドトップとして7得点を挙げたが、この年限りで退団。
2010年4月、タイ・プレミアリーグのタイ・ポートFCへ移籍。同年7月、JFL・V・ファーレン長崎に移籍。同年シーズン終了後に長崎を退団。
2011年、大宮アルディージャU-12コーチに就任。",,
416,竹村 栄哉,Yoshiya TAKEMURA,pre2014_p2,竹村栄哉,high_school,high_school|j_club_academy,possible_incidental_schooling_around_club_academy,"広島県山陽高校卒業後、1992年にフジタ（ベルマーレ平塚）に加入。1994年8月17日のニコスシリーズ第3節でJリーグ初出場、1995年9月2日のニコスシリーズ第6節でJリーグ初ゴールを記録。
その後、1998年から水戸ホーリーホック、1999年途中から大分トリニータ、2002年から大宮アルディージャ、2004年からサガン鳥栖でプレー。2006年シーズン限りで鳥栖との契約が満了になり、クラブ側からはコーチ就任を打診されたが、大分時代の同僚である原田武男に誘われて九州リーグのV・ファーレン長崎に移籍。2009年にはポジションをサイドアタッカーからボランチへと移す。2009年に左ひざ前十字靭帯を部分断裂したが、その翌年に復帰を果たす。2010年限りで長崎との契約を満了、2011年から同クラブのフロントスタッフとなった。
2011年から2014年まで、V・ファーレン長崎にスタッフとして籍を置きつつ、2014年長崎国体に向けた強化チームに選ばれた九州リーグの三菱重工長崎サッカー部で選手兼コーチを務めた。国体には2012年大会と2014年大会に長崎県代表の選手兼監督として参加。
長崎のフロントスタッフとして当初は営業部、のち強化部に在籍。2012年に設立されたU-18チームではコーチに就任。2018年より強化部長。
2019年より、ベガルタ仙台の強化担当に就任。2020年からは強化部長に就任していたが、2021年12月30日に降格の責任を取る形で辞任した。",,
2104,久保山 由清,Yoshikiyo KUBOYAMA,pre2014_p2,久保山由清,unknown,,no_institution_keyword_found,"

横浜フリューゲルス入団当初はトップ下として活躍。ジーニョが出場停止時に背番号10を背負うなど、クラブから期待された選手であった。
後にFWとして起用され、頭角を現し始めた1998年にクラブが消滅するという決定が下される。横浜Fの最後の試合となった天皇杯決勝清水エスパルス戦で持ち前の反転の速さを生かし芸術的なターンで戸田和幸を翻弄しゴールを決めている。
クラブ消滅に伴い、1999年に清水エスパルスに移籍。チーム最多の年間12得点を挙げ2ndステージ優勝に大きく貢献。同年のJリーグアウォーズ優秀選手賞を受賞した。
2000年のアジアカップウイナーズカップ優勝、2001年の天皇杯優勝にも大きく貢献し、2000年にはフィリップ・トルシエの目にとまり、代表合宿にも呼ばれている。
しかし、晩年はひざの怪我に悩まされ、2007年シーズンの試合出場は0。11月23日、同シーズン限りでの引退を表明。

2008年から2015年まで、清水エスパルスジュニアユースの監督を務めた。
2016年より、清水エスパルスのコーチに就任。
2024年より、FC今治のヘッドコーチに就任。",,
9712,嶋田 正吾,Shogo SHIMADA,pre2014_p2,嶋田正吾,unknown,,no_institution_keyword_found,2002年にアイン食品に入団。その後、日本フットボールリーグの佐川急便大阪SC/佐川急便SCを経て、2008年にJ2リーグのFC岐阜に移籍。2009年シーズンはリーグ戦の51試合、天皇杯4試合と公式戦全55試合に出場した。2013年から2017年までアイン食品サッカー部の監督を務めていた。,,
169,浦上 壮史,Takeshi URAKAMI,pre2014_p2,浦上壮史,unknown,,no_institution_keyword_found,"横浜マリノス、清水エスパルスではそれぞれ松永成立・真田雅則という絶対的守護神が存在したため活躍の場がほとんどなかったが、1997年に川崎フロンターレに移籍してからはレギュラーを掴む。1998年のJ1参入決定戦では博多の森の悲劇を経験。1999年にはJ2で優勝しJ1昇格に貢献した。
2000年はチーム事情から、2001年は怪我から出場機会が減ったが、2002年には42試合（全44試合）に出場し、レギュラーとして活躍した。しかし翌2003年からは吉原慎也の成長と下川誠吾の加入もあって出場機会に恵まれなくなった。2004年シーズン終了後に現役引退。
2005年はテレビ神奈川（tvk）の応援番組『ファイト!川崎フロンターレ』でコーナーを持ち、ファン感謝祭でも司会を務めるなど川崎関連の仕事に携わった。2006年から2010年は清水エスパルスのコーチを務めた。",,
